Year,Black Cart (tonnes),Blue Cart (tonnes),Green Cart (tonnes),Waste Disposed at City of Calgary Landfills (tonnes),Household Hazardous Waste Managed (tonnes)
2010,193000,58000,0,629000,2332
2011,199000,56000,0,686000,3183
2012,206000,57000,0,623000,3018
2013,214000,53000,0,670000,3588
2014,220000,52000,0,749000,3239
2015,224000,54000,0,637000,3367
2016,229000,50000,0,533000,3149
2017,182000,48000,38000,458000,3058
2018,113000,47000,108000,438000,3071
2019,116000,46000,102000,454000,3272
2020,127000,43000,114000,545000,3522
